pc,pv,pm,pop_size,n_ger,run,best_fitness
0.7,0.7,0.1,200,100,4,420
0.7,0.7,0.1,200,100,5,486
0.7,0.7,0.1,200,100,6,453
0.7,0.7,0.1,200,100,7,434
0.7,0.7,0.1,200,100,8,464
0.7,0.7,0.1,200,100,9,464
0.7,0.7,0.1,200,200,0,491
0.7,0.7,0.1,200,200,1,498
0.7,0.7,0.1,200,200,2,482
0.7,0.7,0.1,200,200,3,477
0.7,0.7,0.1,200,200,4,465
0.7,0.7,0.1,200,200,5,480
0.7,0.7,0.1,200,200,6,463
0.7,0.7,0.1,200,200,7,466
0.7,0.7,0.1,200,200,8,417
0.7,0.7,0.1,200,200,9,446
0.7,0.9,0.01,100,100,0,295
0.7,0.9,0.01,100,100,1,322
0.7,0.9,0.01,100,100,2,291
0.7,0.9,0.01,100,100,3,391
0.7,0.9,0.01,100,100,4,321
0.7,0.9,0.01,100,100,5,295
0.7,0.9,0.01,100,100,6,315
0.7,0.9,0.01,100,100,7,291
0.7,0.9,0.01,100,100,8,291
0.7,0.9,0.01,100,100,9,291
0.7,0.9,0.01,100,200,0,291
0.7,0.9,0.01,100,200,1,321
0.7,0.9,0.01,100,200,2,291
0.7,0.9,0.01,100,200,3,291
0.7,0.9,0.01,100,200,4,291
0.7,0.9,0.01,100,200,5,291
0.7,0.9,0.01,100,200,6,291
0.7,0.9,0.01,100,200,7,291
0.7,0.9,0.01,100,200,8,291
0.7,0.9,0.01,100,200,9,313
0.7,0.9,0.01,200,100,0,291
0.7,0.9,0.01,200,100,1,315
0.7,0.9,0.01,200,100,2,291
0.7,0.9,0.01,200,100,3,317
0.7,0.9,0.01,200,100,4,313
0.7,0.9,0.01,200,100,5,291
0.7,0.9,0.01,200,100,6,291
0.7,0.9,0.01,200,100,7,291
0.7,0.9,0.01,200,100,8,335
0.7,0.9,0.01,200,100,9,291
0.7,0.9,0.01,200,200,0,291
0.7,0.9,0.01,200,200,1,291
0.7,0.9,0.01,200,200,2,291
0.7,0.9,0.01,200,200,3,291
0.7,0.9,0.01,200,200,4,291
0.7,0.9,0.01,200,200,5,291
0.7,0.9,0.01,200,200,6,291
0.7,0.9,0.01,200,200,7,291
0.7,0.9,0.01,200,200,8,291
0.7,0.9,0.01,200,200,9,291
0.7,0.9,0.05,100,100,0,291
0.7,0.9,0.05,100,100,1,307
0.7,0.9,0.05,100,100,2,347
0.7,0.9,0.05,100,100,3,321
0.7,0.9,0.05,100,100,4,299
0.7,0.9,0.05,100,100,5,325
0.7,0.9,0.05,100,100,6,291
0.7,0.9,0.05,100,100,7,315
0.7,0.9,0.05,100,100,8,291
0.7,0.9,0.05,100,100,9,315
0.7,0.9,0.05,100,200,0,291
0.7,0.9,0.05,100,200,1,291
0.7,0.9,0.05,100,200,2,291
0.7,0.9,0.05,100,200,3,291
0.7,0.9,0.05,100,200,4,291
0.7,0.9,0.05,100,200,5,291
0.7,0.9,0.05,100,200,6,291
0.7,0.9,0.05,100,200,7,291
0.7,0.9,0.05,100,200,8,291
0.7,0.9,0.05,100,200,9,291
0.7,0.9,0.05,200,100,0,299
0.7,0.9,0.05,200,100,1,335
0.7,0.9,0.05,200,100,2,291
0.7,0.9,0.05,200,100,3,332
0.7,0.9,0.05,200,100,4,313
0.7,0.9,0.05,200,100,5,326
0.7,0.9,0.05,200,100,6,291
0.7,0.9,0.05,200,100,7,341
0.7,0.9,0.05,200,100,8,317
0.7,0.9,0.05,200,100,9,327
0.7,0.9,0.05,200,200,0,291
0.7,0.9,0.05,200,200,1,291
0.7,0.9,0.05,200,200,2,291
0.7,0.9,0.05,200,200,3,291
0.7,0.9,0.05,200,200,4,291
0.7,0.9,0.05,200,200,5,291
0.7,0.9,0.05,200,200,6,291
0.7,0.9,0.05,200,200,7,291
0.7,0.9,0.05,200,200,8,291
0.7,0.9,0.05,200,200,9,291
0.7,0.9,0.1,100,100,0,323
0.7,0.9,0.1,100,100,1,291
0.7,0.9,0.1,100,100,2,425
0.7,0.9,0.1,100,100,3,295
0.7,0.9,0.1,100,100,4,347
0.7,0.9,0.1,100,100,5,315
0.7,0.9,0.1,100,100,6,295
0.7,0.9,0.1,100,100,7,448
0.7,0.9,0.1,100,100,8,337
0.7,0.9,0.1,100,100,9,295
